CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-d77db6c6-0a4f-4613-b243-d2923e78a762,"*Work-around*

* Get the current version of the stack deployed
** Through API - http://&lt;ambari-server&gt;:8080/api/v1/clusters/&lt;cluster name&gt; - see value Clusters/version
*** You will see HDP-1.2.0 or HDP-1.2.1 or HDP-1.3.0, etc.
*** Record this value
* Go to the host where ambari server is hosted
* Stop ambari-server (ambari-server stop)
* Replace file /var/lib/ambari-server/resources/upgrade/dml/Ambari-DML-Postgres-UPGRADE_STACK.sql with the attached file
* Upgrade stack version - call &quot;ambari-server upgradestack &lt;HDP stack name as recorded earlier&gt;&quot; (e.g. ambari-server upgradestack HDP-1.3.2)
* Start ambari-server (ambari-server start)

",1377041895984
http://sealytics.github.io/ontologies/release-model#Bug-d77db6c6-0a4f-4613-b243-d2923e78a762,+1 for the patch.,1377041895984
http://sealytics.github.io/ontologies/release-model#Bug-d77db6c6-0a4f-4613-b243-d2923e78a762,The issue is that when &quot;ambari-server upgradestack HDP-1.3.2&quot; is run it does not update the current stack version value associated with the cluster. Update of cluster configuration is a cluster update request. When Ambari receives a cluster update request with a cluster version that is newer than the existing cluster version then it interprets the call as a stack upgrade.,1377041895984
http://sealytics.github.io/ontologies/release-model#Bug-1c0c1790-51e4-422f-b03e-cfb9bb1b963d,Reopened the issue as the newly introduced stack 1.3.3 via AMBARI-3579 doesn&apos;t have the patch changes. ,1382407977031
http://sealytics.github.io/ontologies/release-model#Bug-1c0c1790-51e4-422f-b03e-cfb9bb1b963d,+1 for new patch.,1382407977031
http://sealytics.github.io/ontologies/release-model#Bug-1c0c1790-51e4-422f-b03e-cfb9bb1b963d,"Patch has stack changes, UI changes and a puppet change for hive module.",1382407977031
http://sealytics.github.io/ontologies/release-model#Bug-1c0c1790-51e4-422f-b03e-cfb9bb1b963d,Changes committed to trunk.,1382407977031
http://sealytics.github.io/ontologies/release-model#Bug-1c0c1790-51e4-422f-b03e-cfb9bb1b963d,+1 for the patch.,1382407977031
http://sealytics.github.io/ontologies/release-model#Bug-1c0c1790-51e4-422f-b03e-cfb9bb1b963d,Uploaded another patch that migrates all the changes made by the patch in 1.3.2 stack to 1.3.3 stack.,1382407977031
http://sealytics.github.io/ontologies/release-model#Bug-1c0c1790-51e4-422f-b03e-cfb9bb1b963d,Patch integrated to trunk.,1382407977031
