CWE-17,2012,116
CWE-79,2008,247
CWE-17,2011,122
CWE-79,2005,196
CWE-17,2010,83
CWE-79,2006,316
CWE-79,2003,46
CWE-79,2004,103
CWE-79,2001,21
CWE-79,2002,108
CWE-79,2015,134
CWE-22,1999,67
CWE-79,2016,3
CWE-79,2013,131
CWE-79,2014,247
CWE-17,2016,19
CWE-17,2015,231
CWE-17,2014,195
CWE-17,2013,176
CWE-20,2016,31
CWE-79,2011,154
CWE-79,2012,240
CWE-79,2010,234
CWE-20,2012,185
CWE-20,2013,205
CWE-20,2014,213
CWE-20,2015,188
CWE-20,2010,171
CWE-20,2011,162
