2007-2294,T37
2011-2417,T28
2007-5902,T37
2015-2454,T34
2012-4622,T29
2012-5244,T21
2005-1547,T11
2006-6272,T1
2010-3864,T35
2005-3434,T3
2008-3777,T10
2006-2488,T1
2007-5803,T22
2011-0751,T36
2005-0945,T1
2007-4144,T22
2013-4037,T10
2011-3170,T23
2009-2824,T23
2014-1477,T8
2006-2822,T21
2007-2253,T30
2013-5651,T23
2009-0795,T13
2008-5032,T13
2014-0726,T19
2015-0452,T27
2014-6802,T0
2013-4922,T37
2009-1520,T11
2012-1396,T20
2015-5907,T35
2013-0349,T15
2009-0904,T12
2004-2046,T20
2008-6832,T16
2009-0246,T14
2008-1470,T7
2009-0070,T8
2015-5802,T28
2008-3887,T5
2015-0712,T29
2014-5993,T0
2003-1339,T11
2002-1527,T30
2014-6642,T0
2004-0766,T15
2016-0754,T33
2015-2109,T20
2006-1231,T9
2000-0979,T10
2007-3618,T14
2006-0742,T15
2005-3991,T1
2016-0540,T27
2010-3287,T20
2008-2403,T36
2011-0897,T20
2006-5139,T8
2010-1775,T10
2009-2619,T16
2013-1548,T27
2015-7939,T14
2011-0522,T23
2007-0662,T2
2009-2723,T20
2005-2642,T11
2006-6197,T2
2012-1086,T22
2008-2691,T21
2008-2516,T10
2005-2388,T14
2005-1737,T6
2012-6442,T29
2005-2017,T9
2013-5032,T27
2005-4249,T3
2010-2292,T7
2008-0391,T6
2008-3556,T4
2000-1068,T5
2013-3910,T28
2013-3744,T27
2012-0090,T27
2014-6469,T27
2012-4422,T6
2007-1990,T2
2004-2706,T11
2008-2223,T21
2010-4967,T21
2014-2796,T28
2007-0095,T30
2011-1967,T34
2013-5979,T18
2011-2613,T8
2010-3592,T27
2006-1841,T1
