CR,CM,time
http://sealytics.github.io/ontologies/release-model#Bug-ae67fe31-2b94-4598-a87c-46d07730bfc1,Fixed on karaf-2.3.x: https://git-wip-us.apache.org/repos/asf?p=karaf.git;a=commitdiff;h=2d3cb6364353ecf147e45c454c84bfec48c6790b,1393075422360
http://sealytics.github.io/ontologies/release-model#Bug-487ab5e5-10c8-47eb-a898-148222fed593,"I tried switching it on windows - no luck.
I then tried outputting the target and source strings -- the target diffinately has the source string.. so i&apos;m thinking there are some whitespace characters in there...",1372955250067
http://sealytics.github.io/ontologies/release-model#Bug-487ab5e5-10c8-47eb-a898-148222fed593,Building the tooling module from git worked.,1372955250067
http://sealytics.github.io/ontologies/release-model#Bug-487ab5e5-10c8-47eb-a898-148222fed593,"Agreed, for expedience I&apos;m commenting out this test assert.",1372955250067
http://sealytics.github.io/ontologies/release-model#Bug-487ab5e5-10c8-47eb-a898-148222fed593,It seems related to the path (assert uses / but it&apos;s \ on windows).,1372955250067
http://sealytics.github.io/ontologies/release-model#Bug-487ab5e5-10c8-47eb-a898-148222fed593,It does. I wonder if it works on Windows if you remove the @ignore on the GenerateFeaturesXmlMojoTest.,1372955250067
http://sealytics.github.io/ontologies/release-model#Bug-487ab5e5-10c8-47eb-a898-148222fed593,[~jgoodyear] can you make a new test on Windows without the @ignore ? Thx !,1372955250067
http://sealytics.github.io/ontologies/release-model#Bug-487ab5e5-10c8-47eb-a898-148222fed593,It&apos;s weird that we see that now (it should have been the same during 2.3.0/2.3.1 releases).,1372955250067
http://sealytics.github.io/ontologies/release-model#Bug-487ab5e5-10c8-47eb-a898-148222fed593,We&apos;ll have to investigate and fix for 2.3.3.,1372955250067
http://sealytics.github.io/ontologies/release-model#Bug-6ae5b735-490c-487b-af2f-004e0e525721,"With the upgrade to ServiceMix Specs 2.4.0 (which contains fix about timeout), we can set the default timeout to 0.",1366129913701
http://sealytics.github.io/ontologies/release-model#Bug-6ae5b735-490c-487b-af2f-004e0e525721,"Thanks, Freeman.  

Just so you are aware, I ran into this issue when using jax-rs with CXF.  If you attempt to use the cxf jax-rs subsystem, it will fail with ClassNotFoundException, due to the bundle jsr-311 not finding the installed cxf jax-rs provider.  I realize this may be a note for those struggling with Karaf 2.3.1 with *any* SPI provider installed that uses META-INF/services, however.",1366129913701
http://sealytics.github.io/ontologies/release-model#Bug-6ae5b735-490c-487b-af2f-004e0e525721,"commit fix
http://svn.apache.org/r1468691 for trunk
http://svn.apache.org/r1468689 for 2.3.x branch
http://svn.apache.org/r1468688 for 2.x branch",1366129913701
http://sealytics.github.io/ontologies/release-model#Bug-6ae5b735-490c-487b-af2f-004e0e525721,"ah, good catch!",1366129913701
http://sealytics.github.io/ontologies/release-model#Bug-59b22adb-32ed-4eeb-9182-b96c6ddb58a2,"Using jconsole:
1/ the connection using the local process works but you don&apos;t have the details (as the access to the MBeans attributes is prevented by the RBAC/ACL).
2/ the remote connection (using service:jmx:rmi:///jndi/rmi://localhost:1099/karaf-root with karaf/karaf) works fine and you have all the details.
",1406914501164
http://sealytics.github.io/ontologies/release-model#Bug-59b22adb-32ed-4eeb-9182-b96c6ddb58a2,"Neiter connecting remote via: 

service:jmx:rmi:///jndi/rmi://localhost:1099/karaf-root
nor 
service:jmx:rmi://0.0.0.0/jndi/rmi://0.0.0.0:1099/karaf-root

works with neither JConsole or JVisualVM 
and also neither with or without credentials. 

TBH, JMX usage without connecting to a local process is worthless",1406914501164
http://sealytics.github.io/ontologies/release-model#Bug-59b22adb-32ed-4eeb-9182-b96c6ddb58a2,"I agree for local connection, and I gonna work on it.

However, it works fine for me. What&apos;s your JDK and OS where you have the issue ?",1406914501164
http://sealytics.github.io/ontologies/release-model#Bug-59b22adb-32ed-4eeb-9182-b96c6ddb58a2,I&apos;m figuring out to &quot;detect&quot; local process connection and bypass guard in this case.,1406914501164
http://sealytics.github.io/ontologies/release-model#Bug-e7d2671d-a12f-4bd3-b1ac-d93a06df2e95,Fixed on master: https://git-wip-us.apache.org/repos/asf?p=karaf-cellar.git;a=commitdiff;h=a8eb9e6f9f6972249e6fd53bc9d10079d86df622,1397044775553
